各地区 15 岁及以上人口平均受教育年限,Unnamed: 1,Unnamed: 2
地区,2020年,2010年
全 国 ,9.91,9.08
北  京,12.64,11.71
天  津,11.29,10.38
河  北,9.84,9.12
山  西,10.45,9.52
内蒙古,10.08,9.22
辽  宁,10.34,9.67
吉  林,10.17,9.49
黑龙江,9.93,9.36
上  海,11.81,10.73
江  苏,10.21,9.32
浙  江,9.79,8.79
安  徽,9.35,8.28
福  建,9.66,9.02
江  西,9.7,8.86
山  东,9.75,8.97
河  南,9.79,8.95
湖  北,10.02,9.2
湖  南,9.88,9.16
广  东,10.38,9.55
广  西,9.54,8.76
海  南,10.1,9.22
重  庆,9.8,8.75
四  川,9.24,8.35
贵  州,8.75,7.65
云  南,8.82,7.76
西  藏,6.75,5.25
陕  西,10.26,9.36
甘  肃,9.13,8.19
青  海,8.85,7.85
宁  夏,9.81,8.82
新  疆,10.11,9.27
