各地区每 10 万人口中拥有的各类受教育程度人数,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"地区 
单位：人/10 万人","大学
（大专及以上）","高中
(含中专)",初中 ,小学
全 国 ,15467,15088,34507,24767
北  京,41980,17593,23289,10503
天  津,26940,17719,32294,16123
河  北,12418,13861,39950,24664
山  西,17358,16485,38950,19506
内蒙古,18688,14814,33861,23627
辽  宁,18216,14670,42799,18888
吉  林,16738,17080,38234,22318
黑龙江,14793,15525,42793,21863
上  海,33872,19020,28935,11929
江  苏,18663,16191,33308,22742
浙  江,16990,14555,32706,26384
安  徽,13280,13294,33724,26875
福  建,14148,14212,32218,28031
江  西,11897,15145,35501,27514
山  东,14384,14334,35778,23693
河  南,11744,15239,37518,24557
湖  北,15502,17428,34280,23520
湖  南,12239,17776,35636,25214
广  东,15699,18224,35484,20676
广  西,10806,12962,36388,27855
海  南,13919,15561,40174,19701
重  庆,15412,15956,30582,29894
四  川,13267,13301,31443,31317
贵  州,10952,9951,30464,31921
云  南,11601,10338,29241,35667
西  藏,11019,7051,15757,32108
陕  西,18397,15581,33979,21686
甘  肃,14506,12937,27423,29808
青  海,14880,10568,24344,32725
宁  夏,17340,13432,29717,26111
新  疆,16536,13208,31559,28405
